Year,GEOID,county_name,LandInAcres,NumberofFarms,AvSizeFarmAcres,Population,LandInAcresPerPopulation,PercTotAcresInFarm
1940,36041,Hamilton County,32912,248,133,4188,7.86,0.03
1930,36041,Hamilton County,32347,160,202,3970,8.15,0.03
1920,36041,Hamilton County,36441,255,143,3970,9.18,0.03
1910,36041,Hamilton County,56487,316,179,,,0.05
1935,36041,Hamilton County,35250,245,144,,,0.03
1925,36041,Hamilton County,33019,470,70,,,0.03
1945,36041,Hamilton County,18791,189,99,,,0.02
1959,36041,Hamilton County,5244,40,131,,,0.00
1954,36041,Hamilton County,3917,32,122,,,0.00
1964,36041,Hamilton County,1326,12,111,,,0.00
1969,36041,Hamilton County,4,0,0,,,0.00
2017,36043,Herkimer County,117780,596,198,62193,1.89,0.13
1997,36043,Herkimer County,141847,583,243,65818,2.16,0.16
2007,36043,Herkimer County,140017,672,208,64343,2.18,0.15
2012,36043,Herkimer County,140270,687,204,64232,2.18,0.16
1992,36043,Herkimer County,163072,636,256,66602,2.45,0.18
2002,36043,Herkimer County,159258,690,231,63971,2.49,0.18
1987,36043,Herkimer County,175803,708,248,65906,2.67,0.19
1974,36043,Herkimer County,194898,795,245,67803,2.87,0.22
1982,36043,Herkimer County,194363,796,244,66436,2.93,0.22
1978,36043,Herkimer County,200966,850,236,67159,2.99,0.22
1930,36043,Herkimer County,300638,2400,125,64962,4.63,0.33
1950,36043,Herkimer County,282277,1869,151,59527,4.74,0.31
1940,36043,Herkimer County,292788,2316,126,59527,4.92,0.32
1920,36043,Herkimer County,334277,2849,117,64962,5.15,0.37
1910,36043,Herkimer County,371969,2739,136,,,0.41
1925,36043,Herkimer County,324926,3092,105,,,0.36
1935,36043,Herkimer County,321030,2663,121,,,0.36
1945,36043,Herkimer County,289406,2069,140,,,0.32
1954,36043,Herkimer County,281704,1719,164,,,0.31
1959,36043,Herkimer County,261028,1383,189,,,0.29
1964,36043,Herkimer County,253797,1243,204,,,0.28
1969,36043,Herkimer County,197903,885,224,,,0.22
2017,36045,Jefferson County,247456,792,312,113488,2.18,0.30
2007,36045,Jefferson County,262331,885,296,115059,2.28,0.32
2012,36045,Jefferson County,290811,876,332,120335,2.42,0.36
1997,36045,Jefferson County,291103,916,318,113055,2.57,0.36
1992,36045,Jefferson County,300559,894,336,114463,2.63,0.37
2002,36045,Jefferson County,330561,1028,322,111112,2.98,0.41
1987,36045,Jefferson County,338401,1058,320,96360,3.51,0.42
1982,36045,Jefferson County,368352,1245,296,87302,4.22,0.45
1978,36045,Jefferson County,387788,1319,294,89652,4.33,0.48
1974,36045,Jefferson County,396158,1383,286,89487,4.43,0.49
1950,36045,Jefferson County,585983,3440,170,84003,6.98,0.72
1940,36045,Jefferson County,642006,4205,153,84003,7.64,0.79
1930,36045,Jefferson County,673211,4699,143,82250,8.18,0.83
1920,36045,Jefferson County,696145,5151,135,82250,8.46,0.86
1910,36045,Jefferson County,732861,5778,127,,,0.90
1935,36045,Jefferson County,691863,4993,139,,,0.85
1925,36045,Jefferson County,658061,5007,131,,,0.81
1945,36045,Jefferson County,606631,2985,203,,,0.75
1954,36045,Jefferson County,556424,2978,187,,,0.69
1959,36045,Jefferson County,515905,2390,216,,,0.64
1964,36045,Jefferson County,484342,2048,236,,,0.60
1969,36045,Jefferson County,407526,1633,250,,,0.50
2012,36047,Kings County,0,10,0,2568538,0.00,0.00
1978,36047,Kings County,0,5,0,2277488,0.00,0.00
2002,36047,Kings County,0,1,0,2480559,0.00,0.00
2007,36047,Kings County,0,1,0,2441324,0.00,0.00
1992,36047,Kings County,4,3,1,2327759,0.00,0.00
1987,36047,Kings County,4,4,1,2324361,0.00,0.00
1982,36047,Kings County,5,5,1,2251785,0.00,0.00
1997,36047,Kings County,8,8,1,2401148,0.00,0.00
1974,36047,Kings County,21,3,7,2455992,0.00,0.00
2017,36047,Kings County,23,19,1,2594357,0.00,0.00
1930,36047,Kings County,87,11,8,2018356,0.00,0.00
1950,36047,Kings County,219,65,3,2698285,0.00,0.00
1940,36047,Kings County,229,39,6,2698285,0.00,0.01
1920,36047,Kings County,1080,54,20,2018356,0.00,0.02
1910,36047,Kings County,1443,110,13,,,0.03
1925,36047,Kings County,300,40,8,,,0.01
1945,36047,Kings County,211,41,5,,,0.00
1935,36047,Kings County,117,42,3,,,0.00
1954,36047,Kings County,113,43,3,,,0.00
1964,36047,Kings County,17,14,1,,,0.00
1959,36047,Kings County,15,14,1,,,0.00
1969,36047,Kings County,3,0,0,,,0.00
2007,36049,Lewis County,167249,616,272,27086,6.17,0.21
1992,36049,Lewis County,169313,617,274,27165,6.23,0.21
1997,36049,Lewis County,179696,623,288,27251,6.59,0.22
2012,36049,Lewis County,181741,634,287,27190,6.68,0.22
2017,36049,Lewis County,182457,625,292,26606,6.86,0.22
2002,36049,Lewis County,196774,721,273,26618,7.39,0.24
1987,36049,Lewis County,193083,707,273,25346,7.62,0.24
1974,36049,Lewis County,198002,745,266,24874,7.96,0.24
1978,36049,Lewis County,209267,771,271,25728,8.13,0.26
1982,36049,Lewis County,205846,771,267,24747,8.32,0.25
1950,36049,Lewis County,320626,1701,188,22815,14.05,0.39
1940,36049,Lewis County,339848,2126,160,22815,14.90,0.42
1930,36049,Lewis County,401363,2558,157,23704,16.93,0.49
1920,36049,Lewis County,437208,2952,148,23704,18.44,0.54
1910,36049,Lewis County,475033,3343,142,,,0.58
1925,36049,Lewis County,441553,2974,148,,,0.54
1935,36049,Lewis County,407164,2766,147,,,0.50
1945,36049,Lewis County,347519,2099,166,,,0.43
1954,36049,Lewis County,314543,1541,204,,,0.39
1959,36049,Lewis County,290847,1291,225,,,0.36
1964,36049,Lewis County,258445,1091,237,,,0.32
1969,36049,Lewis County,219117,905,242,,,0.27
2017,36051,Livingston County,189488,661,287,63503,2.98,0.47
2012,36051,Livingston County,194945,661,295,64780,3.01,0.48
1997,36051,Livingston County,197408,625,316,64217,3.07,0.49
2002,36051,Livingston County,209496,801,262,65118,3.22,0.52
1992,36051,Livingston County,205105,636,322,63512,3.23,0.51
2007,36051,Livingston County,222415,792,281,65460,3.40,0.55
1987,36051,Livingston County,234071,737,318,60429,3.87,0.58
1982,36051,Livingston County,243641,812,300,57826,4.21,0.60
1978,36051,Livingston County,247206,837,295,57308,4.31,0.61
1974,36051,Livingston County,267329,952,281,56620,4.72,0.66
1950,36051,Livingston County,326831,1835,178,38510,8.49,0.81
1940,36051,Livingston County,329897,2155,153,38510,8.57,0.82
1930,36051,Livingston County,332762,2322,143,36830,9.04,0.82
1920,36051,Livingston County,353170,2899,122,36830,9.59,0.87
1910,36051,Livingston County,389536,3298,118,,,0.96
1925,36051,Livingston County,339487,2686,126,,,0.84
1935,36051,Livingston County,336809,2409,140,,,0.83
1945,36051,Livingston County,335611,2034,165,,,0.83
1954,36051,Livingston County,319401,1612,198,,,0.79
1959,36051,Livingston County,288196,1302,221,,,0.71
1964,36051,Livingston County,257696,984,262,,,0.64
1969,36051,Livingston County,249290,1038,240,,,0.62
2002,36053,Madison County,168264,734,229,70261,2.39,0.40
2017,36053,Madison County,171865,691,249,70993,2.42,0.41
2012,36053,Madison County,187496,838,224,72438,2.59,0.45
2007,36053,Madison County,188320,744,253,72709,2.59,0.45
1997,36053,Madison County,185924,692,269,69554,2.67,0.44
1992,36053,Madison County,195626,699,280,70660,2.77,0.47
1987,36053,Madison County,212804,785,271,66977,3.18,0.51
1978,36053,Madison County,236012,920,257,66144,3.57,0.56
1982,36053,Madison County,233061,888,262,65263,3.57,0.56
1974,36053,Madison County,237063,942,252,65169,3.64,0.57
1950,36053,Madison County,317578,2360,135,39598,8.02,0.76
1940,36053,Madison County,318159,2752,116,39598,8.03,0.76
1930,36053,Madison County,337272,3176,106,39535,8.53,0.80
1920,36053,Madison County,362459,3597,101,39535,9.17,0.86
1910,36053,Madison County,381434,4042,94,,,0.91
1925,36053,Madison County,348162,3632,96,,,0.83
1935,36053,Madison County,344044,3358,102,,,0.82
1945,36053,Madison County,341840,2786,123,,,0.82
1954,36053,Madison County,313796,1057,297,,,0.75
1959,36053,Madison County,302334,1693,179,,,0.72
1964,36053,Madison County,277657,1348,206,,,0.66
1969,36053,Madison County,236010,1075,220,,,0.56
2012,36055,Monroe County,98676,475,208,747468,0.13,0.23
1997,36055,Monroe County,103097,480,215,734394,0.14,0.25
2017,36055,Monroe County,106778,527,203,743528,0.14,0.25
2002,36055,Monroe County,106561,631,169,741391,0.14,0.25
1992,36055,Monroe County,110150,511,216,729060,0.15,0.26
2007,36055,Monroe County,133041,585,227,739249,0.18,0.32
1987,36055,Monroe County,134670,682,197,701215,0.19,0.32
1974,36055,Monroe County,137413,795,173,705883,0.19,0.33
1982,36055,Monroe County,145270,800,182,710131,0.20,0.35
1978,36055,Monroe County,145239,784,185,704925,0.21,0.35
1950,36055,Monroe County,285005,3147,91,438230,0.65,0.68
1940,36055,Monroe County,307285,4129,74,438230,0.70,0.73
1930,36055,Monroe County,312589,4165,75,352034,0.89,0.74
1920,36055,Monroe County,359877,5174,70,352034,1.02,0.86
1910,36055,Monroe County,885296,5971,148,,,2.10
1925,36055,Monroe County,343823,5004,69,,,0.82
1935,36055,Monroe County,337092,5084,66,,,0.80
1945,36055,Monroe County,308377,2665,116,,,0.73
1954,36055,Monroe County,268002,2721,98,,,0.64
1959,36055,Monroe County,215900,1880,115,,,0.51
1964,36055,Monroe County,198342,1466,135,,,0.47
1969,36055,Monroe County,156405,1085,144,,,0.37
2017,36057,Montgomery County,114990,564,204,49203,2.34,0.45
2007,36057,Montgomery County,124556,604,206,49798,2.50,0.48
2012,36057,Montgomery County,131386,659,199,49836,2.64,0.51
1997,36057,Montgomery County,134940,542,249,50798,2.66,0.52
1992,36057,Montgomery County,138822,537,259,51928,2.67,0.54
1974,36057,Montgomery County,160954,680,237,55841,2.88,0.62
1978,36057,Montgomery County,165573,668,248,54800,3.02,0.64
1987,36057,Montgomery County,156368,616,254,51317,3.05,0.61
2002,36057,Montgomery County,151977,624,244,49298,3.08,0.59
1982,36057,Montgomery County,164000,657,250,53066,3.09,0.64
1950,36057,Montgomery County,204612,1473,139,59142,3.46,0.79
1940,36057,Montgomery County,209521,1813,116,59142,3.54,0.81
1930,36057,Montgomery County,212331,1753,121,57928,3.67,0.82
1920,36057,Montgomery County,227035,2015,113,57928,3.92,0.88
1910,36057,Montgomery County,234041,2189,107,,,0.91
1935,36057,Montgomery County,218362,1920,114,,,0.85
1925,36057,Montgomery County,218148,2024,108,,,0.85
1945,36057,Montgomery County,217839,1664,131,,,0.84
1954,36057,Montgomery County,199200,1296,154,,,0.77
1959,36057,Montgomery County,192037,1074,179,,,0.74
1964,36057,Montgomery County,186406,940,198,,,0.72
1969,36057,Montgomery County,161303,735,219,,,0.63
1987,36059,Nassau County,471,67,7,1304812,0.00,0.00
2017,36059,Nassau County,910,32,28,1357260,0.00,0.00
1974,36059,Nassau County,1112,104,11,1354613,0.00,0.01
2002,36059,Nassau County,1118,65,17,1339572,0.00,0.01
1978,36059,Nassau County,1151,94,12,1320672,0.00,0.01
2007,36059,Nassau County,1288,59,22,1322048,0.00,0.01
1997,36059,Nassau County,1390,55,25,1318211,0.00,0.01
1982,36059,Nassau County,1897,98,19,1314841,0.00,0.01
1992,36059,Nassau County,1890,62,30,1299575,0.00,0.01
2012,36059,Nassau County,2682,55,49,1349753,0.00,0.01
1940,36059,Nassau County,26543,636,42,406748,0.07,0.15
1950,36059,Nassau County,27334,618,44,406748,0.07,0.15
1930,36059,Nassau County,23477,579,41,126120,0.19,0.13
1920,36059,Nassau County,59353,935,63,126120,0.47,0.33
1910,36059,Nassau County,55770,1017,55,,,0.31
1925,36059,Nassau County,42991,766,56,,,0.24
1945,36059,Nassau County,32122,658,49,,,0.18
1935,36059,Nassau County,27895,614,45,,,0.15
1954,36059,Nassau County,12964,329,39,,,0.07
1959,36059,Nassau County,7406,232,32,,,0.04
1964,36059,Nassau County,5565,187,30,,,0.03
1969,36059,Nassau County,2437,83,29,,,0.01
2012,36061,NewYork County,0,6,0,1624573,0.00,0.00
1997,36061,NewYork County,0,2,0,1527384,0.00,0.00
1930,36061,NewYork County,0,0,0,2284103,0.00,0.00
1940,36061,NewYork County,0,0,0,1889924,0.00,0.00
1950,36061,NewYork County,0,0,0,1889924,0.00,0.00
1974,36061,NewYork County,0,0,0,1494432,0.00,0.00
1978,36061,NewYork County,0,0,0,1436023,0.00,0.00
1982,36061,NewYork County,0,0,0,1422332,0.00,0.00
1987,36061,NewYork County,0,0,0,1481531,0.00,0.00
1992,36061,NewYork County,0,0,0,1485877,0.00,0.00
2007,36061,NewYork County,0,0,0,1581402,0.00,0.00
2002,36061,NewYork County,4,4,1,1555382,0.00,0.00
2017,36061,NewYork County,11,7,2,1632337,0.00,0.00
1920,36061,NewYork County,138,5,28,2284103,0.00,0.01
1910,36061,NewYork County,1965,85,23,,,0.13
1925,36061,NewYork County,72,5,14,,,0.00
1935,36061,NewYork County,0,0,0,,,0.00
1945,36061,NewYork County,0,0,0,,,0.00
1954,36061,NewYork County,0,0,0,,,0.00
1959,36061,NewYork County,0,0,0,,,0.00
1964,36061,NewYork County,0,0,0,,,0.00
1969,36061,NewYork County,0,0,0,,,0.00
1997,36063,Niagara County,127355,687,185,223135,0.57,0.38
1992,36063,Niagara County,135494,749,181,221952,0.61,0.41
2007,36063,Niagara County,142636,854,167,215791,0.66,0.43
2017,36063,Niagara County,140259,690,203,210911,0.67,0.42
2012,36063,Niagara County,142818,760,188,214724,0.67,0.43
1974,36063,Niagara County,155835,1228,127,233165,0.67,0.47
1982,36063,Niagara County,150411,1093,138,222717,0.68,0.45
1987,36063,Niagara County,146537,923,159,216849,0.68,0.44
2002,36063,Niagara County,148041,801,185,218127,0.68,0.44
1978,36063,Niagara County,158720,1129,141,232360,0.68,0.47
1950,36063,Niagara County,247904,3362,74,160110,1.55,0.74
1940,36063,Niagara County,274687,3871,71,160110,1.72,0.82
1930,36063,Niagara County,282499,4018,70,118705,2.38,0.85
1920,36063,Niagara County,289691,4058,71,118705,2.44,0.87
1910,36063,Niagara County,305800,4346,70,,,0.91
1935,36063,Niagara County,287348,4193,69,,,0.86
1925,36063,Niagara County,287108,4303,67,,,0.86
1945,36063,Niagara County,261997,3659,72,,,0.78
1954,36063,Niagara County,246038,2332,106,,,0.74
1959,36063,Niagara County,208806,2456,85,,,0.62
1964,36063,Niagara County,181301,1800,101,,,0.54
1969,36063,Niagara County,171937,1654,104,,,0.51
2007,36065,Oneida County,192232,1013,190,234488,0.82,0.25
2017,36065,Oneida County,192767,967,199,229980,0.84,0.25
2012,36065,Oneida County,205106,1066,192,233778,0.88,0.26
1997,36065,Oneida County,216094,928,233,236863,0.91,0.28
2002,36065,Oneida County,220486,1087,203,234078,0.94,0.28
1992,36065,Oneida County,242637,1051,231,253819,0.96,0.31
1974,36065,Oneida County,297872,1411,211,267041,1.12,0.38
1987,36065,Oneida County,285731,1251,228,250305,1.14,0.37
1978,36065,Oneida County,297629,1406,212,258380,1.15,0.38
1982,36065,Oneida County,302931,1351,224,253352,1.20,0.39
1950,36065,Oneida County,485052,3909,124,203636,2.38,0.63
1940,36065,Oneida County,512384,4706,109,203636,2.52,0.66
1930,36065,Oneida County,515700,4699,110,182833,2.82,0.66
1920,36065,Oneida County,611634,6233,98,182833,3.35,0.79
1910,36065,Oneida County,690431,6929,100,,,0.89
1925,36065,Oneida County,569745,5822,98,,,0.73
1935,36065,Oneida County,550566,5739,96,,,0.71
1945,36065,Oneida County,505190,4420,114,,,0.65
1954,36065,Oneida County,459347,3281,140,,,0.59
1959,36065,Oneida County,408853,2511,163,,,0.53
1964,36065,Oneida County,390683,2097,186,,,0.50
1969,36065,Oneida County,319806,1626,197,,,0.41
1992,36067,Onondaga County,145329,636,229,473971,0.31,0.29
1997,36067,Onondaga County,147109,602,244,462438,0.32,0.30
2012,36067,Onondaga County,150269,681,221,467138,0.32,0.30
2007,36067,Onondaga County,150499,692,217,461287,0.33,0.30
2002,36067,Onondaga County,156284,725,216,459484,0.34,0.31
1987,36067,Onondaga County,158276,772,205,462521,0.34,0.32
2017,36067,Onondaga County,160717,623,258,461843,0.35,0.32
1982,36067,Onondaga County,179015,835,214,461697,0.39,0.36
1978,36067,Onondaga County,184114,869,212,465564,0.40,0.37
1974,36067,Onondaga County,199592,992,201,468613,0.43,0.40
1950,36067,Onondaga County,334822,3405,98,295108,1.13,0.67
1940,36067,Onondaga County,373263,4490,83,295108,1.26,0.75
1930,36067,Onondaga County,373716,4529,83,241465,1.55,0.75
1920,36067,Onondaga County,429881,5652,76,241465,1.78,0.86
1910,36067,Onondaga County,437658,5770,76,,,0.88
1935,36067,Onondaga County,408934,5648,72,,,0.82
1925,36067,Onondaga County,408319,5538,74,,,0.82
1945,36067,Onondaga County,385379,4830,80,,,0.77
1954,36067,Onondaga County,294226,2539,116,,,0.59
1959,36067,Onondaga County,251917,1765,143,,,0.51
1964,36067,Onondaga County,231382,1446,160,,,0.46
1969,36067,Onondaga County,204966,1159,177,,,0.41
2012,36069,Ontario County,192616,853,226,108641,1.77,0.47
2017,36069,Ontario County,200089,833,240,109652,1.82,0.49
1992,36069,Ontario County,181624,725,251,97623,1.86,0.44
1997,36069,Ontario County,185924,692,269,99693,1.86,0.45
2007,36069,Ontario County,198937,859,232,105216,1.89,0.48
2002,36069,Ontario County,194742,896,217,101763,1.91,0.47
1987,36069,Ontario County,202049,837,241,92355,2.19,0.49
1982,36069,Ontario County,218910,962,228,90011,2.43,0.53
1978,36069,Ontario County,227489,967,235,89178,2.55,0.55
1974,36069,Ontario County,224168,1036,216,84873,2.64,0.54
1950,36069,Ontario County,303255,2507,121,55307,5.48,0.74
1940,36069,Ontario County,319019,3093,103,55307,5.77,0.77
1930,36069,Ontario County,343863,3322,104,52652,6.53,0.83
1920,36069,Ontario County,368940,4062,91,52652,7.01,0.90
1910,36069,Ontario County,387969,4416,88,,,0.94
1935,36069,Ontario County,360550,3885,93,,,0.87
1925,36069,Ontario County,340265,3685,92,,,0.83
1945,36069,Ontario County,315907,2673,118,,,0.77
1954,36069,Ontario County,309608,2371,131,,,0.75
1959,36069,Ontario County,283839,1896,150,,,0.69
1964,36069,Ontario County,252438,1492,169,,,0.61
1969,36069,Ontario County,242716,1364,178,,,0.59
2017,36071,Orange County,81192,621,131,379896,0.21,0.16
2007,36071,Orange County,80990,642,126,368464,0.22,0.16
2012,36071,Orange County,88030,658,134,373795,0.24,0.17
1997,36071,Orange County,94771,624,152,328860,0.29,0.18
2002,36071,Orange County,107977,706,153,352975,0.31,0.21
1992,36071,Orange County,102733,641,160,315957,0.33,0.20
1987,36071,Orange County,114928,789,146,291920,0.39,0.22
1982,36071,Orange County,129901,894,145,267075,0.49,0.25
1978,36071,Orange County,131800,844,156,255591,0.52,0.25
1974,36071,Orange County,151077,891,170,240615,0.63,0.29
1950,36071,Orange County,273820,2958,93,140113,1.95,0.53
1940,36071,Orange County,314425,3513,90,140113,2.24,0.61
1930,36071,Orange County,301363,3115,97,119844,2.51,0.58
1920,36071,Orange County,350268,3591,98,119844,2.92,0.67
1910,36071,Orange County,384145,8935,43,,,0.74
1935,36071,Orange County,324449,3878,84,,,0.62
1925,36071,Orange County,310780,3706,84,,,0.60
1945,36071,Orange County,299865,3378,89,,,0.58
1954,36071,Orange County,238937,2129,112,,,0.46
1959,36071,Orange County,235153,2055,114,,,0.45
1964,36071,Orange County,202089,1537,131,,,0.39
1969,36071,Orange County,157194,1124,140,,,0.30
2002,36073,Orleans County,132947,504,264,43660,3.05,0.53
1992,36073,Orleans County,133854,469,285,43674,3.06,0.53
2017,36073,Orleans County,129573,498,260,40815,3.17,0.52
2012,36073,Orleans County,135090,487,277,42396,3.19,0.54
2007,36073,Orleans County,139764,554,252,43342,3.22,0.56
1997,36073,Orleans County,143397,456,314,44172,3.25,0.57
1987,36073,Orleans County,152354,581,262,40282,3.78,0.61
1982,36073,Orleans County,153274,642,239,38768,3.95,0.61
1978,36073,Orleans County,162546,709,229,39095,4.16,0.65
1974,36073,Orleans County,160284,776,207,38270,4.19,0.64
1950,36073,Orleans County,201125,1878,107,27760,7.25,0.80
1930,36073,Orleans County,213498,2392,89,28619,7.46,0.85
1940,36073,Orleans County,208238,2161,96,27760,7.50,0.83
1920,36073,Orleans County,230877,2579,90,28619,8.07,0.92
1910,36073,Orleans County,232892,2780,84,,,0.93
1935,36073,Orleans County,222930,2608,85,,,0.89
1925,36073,Orleans County,222157,2767,80,,,0.89
1945,36073,Orleans County,202116,1909,106,,,0.81
1954,36073,Orleans County,188438,1536,123,,,0.75
1959,36073,Orleans County,175732,1259,140,,,0.70
1969,36073,Orleans County,166176,928,179,,,0.66
1964,36073,Orleans County,165631,965,172,,,0.66
2017,36075,Oswego County,86167,612,141,118444,0.73,0.14
2012,36075,Oswego County,94209,657,143,121469,0.78,0.15
2007,36075,Oswego County,100195,639,157,122213,0.82,0.16
1997,36075,Oswego County,102537,605,169,123237,0.83,0.17
2002,36075,Oswego County,103156,682,151,122496,0.84,0.17
1992,36075,Oswego County,112334,659,170,123857,0.91,0.18
1987,36075,Oswego County,122648,749,164,117227,1.05,0.20
1978,36075,Oswego County,141349,831,170,115095,1.23,0.23
1982,36075,Oswego County,139440,826,169,113482,1.23,0.23
1974,36075,Oswego County,150382,904,166,109216,1.38,0.25
1950,36075,Oswego County,335462,3339,100,71275,4.71,0.55
1940,36075,Oswego County,359824,4426,81,71275,5.05,0.59
1930,36075,Oswego County,388861,4726,82,71045,5.47,0.64
1920,36075,Oswego County,462522,5539,84,71045,6.51,0.76
1910,36075,Oswego County,491998,6319,78,,,0.81
1925,36075,Oswego County,446645,5815,77,,,0.73
1935,36075,Oswego County,426253,5555,77,,,0.70
1945,36075,Oswego County,379014,4311,88,,,0.62
1954,36075,Oswego County,305761,2858,107,,,0.50
1959,36075,Oswego County,251949,2030,124,,,0.41
1964,36075,Oswego County,210575,1592,132,,,0.35
1969,36075,Oswego County,161347,1000,161,,,0.26
2017,36077,Otsego County,154634,880,176,59955,2.58,0.24
2007,36077,Otsego County,176481,980,180,62914,2.81,0.28
2012,36077,Otsego County,180750,995,182,61763,2.93,0.28
2002,36077,Otsego County,206233,1028,201,62093,3.32,0.32
1997,36077,Otsego County,206985,865,239,61371,3.37,0.32
1992,36077,Otsego County,218306,867,252,61195,3.57,0.34
1987,36077,Otsego County,264388,1029,257,59172,4.47,0.41
1982,36077,Otsego County,277046,1120,247,58870,4.71,0.43
1978,36077,Otsego County,297911,1166,255,59801,4.98,0.46
1974,36077,Otsego County,307705,1206,255,58466,5.26,0.48
1950,36077,Otsego County,478771,3261,147,46082,10.39,0.75
1940,36077,Otsego County,496518,3752,132,46082,10.77,0.77
1930,36077,Otsego County,513337,3980,129,46200,11.11,0.80
1920,36077,Otsego County,573287,4770,120,46200,12.41,0.89
1910,36077,Otsego County,592531,5346,111,,,0.92
1925,36077,Otsego County,547428,4887,112,,,0.85
1935,36077,Otsego County,530270,4377,121,,,0.83
1954,36077,Otsego County,469601,2823,166,,,0.73
1959,36077,Otsego County,456961,2391,191,,,0.71
1964,36077,Otsego County,406213,1889,215,,,0.63
1969,36077,Otsego County,325600,1427,228,,,0.51
1945,36077,Otsego County,49872,3914,13,,,0.08
1997,36079,Putnam County,3433,48,72,92139,0.04,0.02
1992,36079,Putnam County,3803,42,91,86828,0.04,0.03
2007,36079,Putnam County,5635,72,78,99454,0.06,0.04
2012,36079,Putnam County,5908,72,82,99600,0.06,0.04
2002,36079,Putnam County,6720,52,129,98263,0.07,0.05
1987,36079,Putnam County,6059,51,119,81243,0.07,0.04
2017,36079,Putnam County,7472,89,84,98901,0.08,0.05
1974,36079,Putnam County,6974,53,132,68041,0.10,0.05
1978,36079,Putnam County,8347,58,144,74019,0.11,0.06
1982,36079,Putnam County,9968,56,178,78442,0.13,0.07
1950,36079,Putnam County,42935,219,196,16555,2.59,0.29
1940,36079,Putnam County,49872,346,144,16555,3.01,0.34
1930,36079,Putnam County,53076,293,181,10802,4.91,0.36
1920,36079,Putnam County,113010,767,147,10802,10.46,0.77
1910,36079,Putnam County,109703,973,113,,,0.74
1935,36079,Putnam County,78055,513,152,,,0.53
1945,36079,Putnam County,62907,446,141,,,0.43
1925,36079,Putnam County,53560,385,139,,,0.36
1954,36079,Putnam County,36310,220,165,,,0.25
1959,36079,Putnam County,26372,156,169,,,0.18
1964,36079,Putnam County,21906,122,180,,,0.15
1969,36079,Putnam County,13854,69,201,,,0.09
2007,36081,Queens County,0,4,0,2177351,0.00,0.00
2017,36081,Queens County,0,4,0,2295226,0.00,0.00
1992,36081,Queens County,0,2,0,1996512,0.00,0.00
1997,36081,Queens County,0,2,0,2138503,0.00,0.00
2002,36081,Queens County,0,2,0,2224507,0.00,0.00
1987,36081,Queens County,9,6,2,1952640,0.00,0.00
1982,36081,Queens County,13,9,1,1911597,0.00,0.00
1974,36081,Queens County,15,13,1,1945563,0.00,0.00
1978,36081,Queens County,26,16,2,1904879,0.00,0.00
2012,36081,Queens County,442,6,74,2271920,0.00,0.01
1950,36081,Queens County,542,111,5,1297634,0.00,0.01
1940,36081,Queens County,1451,126,12,1297634,0.00,0.02
1930,36081,Queens County,2873,186,15,469042,0.01,0.04
1920,36081,Queens County,14148,565,25,469042,0.03,0.20
1910,36081,Queens County,14588,720,20,,,0.21
1925,36081,Queens County,5840,191,31,,,0.08
1935,36081,Queens County,2234,292,8,,,0.03
1945,36081,Queens County,1196,139,9,,,0.02
1954,36081,Queens County,307,83,4,,,0.00
1959,36081,Queens County,198,60,3,,,0.00
1964,36081,Queens County,118,43,3,,,0.00
1969,36081,Queens County,17,12,1,,,0.00
2017,36083,Rensselaer County,82766,470,176,159214,0.52,0.20
2007,36083,Rensselaer County,85034,506,168,158243,0.54,0.20
2012,36083,Rensselaer County,88763,495,179,159466,0.56,0.21
1992,36083,Rensselaer County,92683,444,209,156266,0.59,0.22
2002,36083,Rensselaer County,92344,549,168,153040,0.60,0.22
1997,36083,Rensselaer County,98965,459,216,153653,0.64,0.24
1974,36083,Rensselaer County,105780,528,200,154069,0.69,0.25
1987,36083,Rensselaer County,106559,526,203,152699,0.70,0.26
1978,36083,Rensselaer County,111659,559,200,153110,0.73,0.27
1982,36083,Rensselaer County,117612,591,199,151806,0.77,0.28
